"","author_comb","freq"
"1"," Felluga, Dino Franco",1
"2","“Jacques Derrida",1
"3","Adams, Glenn, and Phia S",1
"4","Andrews, Kehinde, in Chantiluke et al, Rhodes Must Fall: The Struggle to Decolonise the Racist Heart of Empire",1
"5","Aphramor, Lucy",1
"6","Aphramore, Lucy, and Jacqui Gringas",1
"7","Applebaum, Barbara",24
"8","Aronowitz & Giroux, ",1
"9","Bacon, Linda",1
"10","Bailey, Alison",25
"11","Barnett, Joshua Trey, and Corey W",5
"12","Bhambra, Gurminder K",1
"13","Bingham, Charles W",3
"14","Braveman, Paula A",1
"15","Brian McHale",3
"16","Bunyasi, Tehama Lopez, and Candis Watts Smith",3
"17","Carbado, Devin W",3
"18","Carbado, Devon W",1
"19","Chang, Robert S",3
"20","Cho, Sumi K",1
"21","Chrisler, Joan C",1
"22","Collins, Patricia Hill",21
"23","Crenshaw, Kimberlé",9
"24","Crenshaw, Kimberlé Williams, Luke Charles Harris, Daniel Martinez HoSang, and George Lipsitz (eds",1
"25","Culler, Jonathan",3
"26","Cummings, André Douglas Pond",1
"27","Delgado, Richard",4
"28","Delgado, Richard, and Jean Stefancic",1
"29","Delgado, Richard, and Jean Stefancic (Eds",1
"30","DiAngelo, Robin J",39
"31","Dotson, Kristie",3
"32","Dotson, Kristie, ",5
"33","Eide, Elisabeth",2
"34","Felluga, Dino Franco",4
"35","For Folx Sake",1
"36","Foucault, Michel",1
"37","Francisco Weffort, in the preface to Paulo Freire, Educação como Prática da Liberdade (Rio de Janeiro, ",1
"38","Freire, Paulo",1
"39","Gallardo, Miguel E",5
"40","Gayle Rubin, “Thinking Sex: Notes For a Radical Theory of the Politics of Sexuality” [",1
"41","Gertz, Genie, and Patrick Boudreault",1
"42","Giroux, Henry A",2
"43","Goodley, Dan",2
"44","Gorski, Paul C",1
"45","Gottesman, Isaac",8
"46","Guthman, Julie",2
"47","Harding, Sandra",3
"48","Hill Collins, Patricia",1
"49","hooks, bell",11
"50","https://educatenotindoctrinate",20
"51","https://link",2
"52","https://plato",1
"53","https://vimeo",1
"54","https://www",17
"55","Ioanide, Paula",1
"56","Kang, Jerry",1
"57","Kendi, Ibram X",6
"58","Lemisko, Lynn",1
"59","López, Ian F",1
"60","Lorde, Audre",3
"61","MacKinnon, Catharine A",1
"62","Manne, Kate",9
"63","Marcuse, Herbert",3
"64","Marilyn Wann “Introduction,” in Sondra Solovay The Fat Studies Reader",2
"65","McIntosh, Peggy",6
"66","McKenzie, Mia",1
"67","McQueeney, Krista, and Lavelle, Kristen M",1
"68","Medina, José",1
"69","Mills, Charles",1
"70","Paxton, Robert",1
"71","Payne Hiraldo, “The Role of Critical Race Theory in Higher Education,” Vermont Connection ",1
"72","Research Justice: Methodologies for Social Change",2
"73","Rothblum, Esther, and Sondra Solovay",1
"74","Roy, Laura A",1
"75","Sensoy, Ozlem, and Robin DiAngelo",111
"76","Source: DiAngelo, Robin J",1
"77","Stengel, Richard",1
"78","Subotnik, Daniel",1
"79","Sullivan, Shannon",2
"80","The New Warriors, marvel",1
"81","The Routledge Handbook of Epistemic Injustice",1
"82","The Routledge Handbook of Epistemic Injustice (Routledge Handbooks in Philosophy)",1
"83","The Routledge Handbook of Epistemic Injustice, Routledge Handbooks in Philosophy",1
"84","Thompson, A",4
"85","Thompson, Sherwood",3
"86","Thompson, Sherwood (ed",4
"87","Tuana, Nancy",2
"88","Wann, Marilyn",2
