"","entryurl","source"
"1","https://newdiscourses.com/tftw-1619-project/","Source: “1619 Project.” New York Times Magazine."
"2","https://newdiscourses.com/tftw-1619-project/","Source: “1619 Project.” New York Times Magazine."
"3","https://newdiscourses.com/tftw-acting-white/","Source: Carbado, Devin W. and Mitu Gulati. Acting White? Rethinking Race in “Post-Racial” America. Oxford University Press, 2013, p. 43."
"4","https://newdiscourses.com/tftw-acting-white/","Source: Carbado, Devon W. and Mitu Gulati. Acting White? Rethinking Race in “Post-Racial” America. Oxford University Press, 2013, p. 16."
"5","https://newdiscourses.com/tftw-acting-white/","Source: Carbado, Devin W. and Mitu Gulati. Acting White? Rethinking Race in “Post-Racial” America. Oxford University Press, 2013, pp. 23, 26."
"6","https://newdiscourses.com/tftw-acting-white/","Source: Carbado, Devin W. and Mitu Gulati. Acting White? Rethinking Race in “Post-Racial” America. Oxford University Press, 2013, pp. 16–17."
"7","https://newdiscourses.com/tftw-ally-allyship/","Source: Center for Assessment and Policy Development"
"8","https://newdiscourses.com/tftw-ally-allyship/","Source: McKenzie, Mia. Black Girl Dangerous on Race, Queerness, Class and Gender. BGD Press, Inc. Kindle Edition."
"9","https://newdiscourses.com/tftw-anti-blackness/","Source: DiAngelo, Robin J. White Fragility: Why It’s so Hard for White People to Talk about Racism. Boston: Beacon Press, 2018, pp. 90–91."
"10","https://newdiscourses.com/tftw-anti-blackness/","Source: DiAngelo, Robin J. White Fragility: Why It’s so Hard for White People to Talk about Racism. Boston: Beacon Press, 2018, pp. 94–95."
"11","https://newdiscourses.com/tftw-antifascism/","Source: Bray, Mark. Antifa: The Anti-Fascist Handbook. Melville House, 2017, p. xv."
"12","https://newdiscourses.com/tftw-antifascism/","Source: https://www.thenation.com/article/activism/the-importance-of-being-antifascist/"
"13","https://newdiscourses.com/tftw-antifascism/","Source: Bray, Mark. Antifa: The Anti-Fascist Handbook. Melville House, 2017, p. ix."
"14","https://newdiscourses.com/tftw-antifascism/","Source: Bray, Mark. Antifa: The Anti-Fascist Handbook. Melville House, 2017, p. xix."
"15","https://newdiscourses.com/tftw-antiracism/","Source: Kendi, Ibram X., How To Be an Antiracist (p. 9). Random House. Kindle Edition."
"16","https://newdiscourses.com/tftw-authentic/","Source: DiAngelo, Robin. White Fragility: Why It’s so Hard for White People to Talk about Racism. Beacon Press, 2018, p. 111."
"17","https://newdiscourses.com/tftw-authentic/","Source: Subotnik, Daniel. “What’s Wrong with Critical Race Theory: Reopening the Case for Middle Class Values.” Cornell Journal of Law and Public Policy 7(3), 1998: 681–756, pp. 704–705. [NB: This source isn’t Critical Social Justice itself but, instead, a useful critique of an aspect of it from the outside.]
"
"18","https://newdiscourses.com/tftw-authentic/","Source: Applebaum, Barbara. Being White, Being Good: White Complicity, White Moral Responsibility, and Social Justice Pedagogy. Lexington Books, 2010, p. 127."
"19","https://newdiscourses.com/tftw-authentic/","Source: Applebaum, Barbara. Being White, Being Good: White Complicity, White Moral Responsibility, and Social Justice Pedagogy. Lexington Books, 2010, pp. 56–57."
"20","https://newdiscourses.com/tftw-authentic/","Source: Delgado, Richard. “Storytelling for Oppositionists and Others A Plea for Narrative.” In Critical Race Theory: The Cutting Edge, Third Edition, Richard Delgado and Jean Stefacic (eds.). Temple University Press, 2013, pp. 75–76."
"21","https://newdiscourses.com/tftw-authentic/","Source: hooks, bell. Teaching to Transgress: Education as the Practice of Freedom. New York: Routledge, 1994, pp. 53–54."
"22","https://newdiscourses.com/tftw-authentic/","Source: hooks, bell. Teaching to Transgress: Education as the Practice of Freedom. New York: Routledge, 1994, p. 199."
"23","https://newdiscourses.com/tftw-aversive-racism/","Source: DiAngelo, Robin J. White Fragility: Why It’s so Hard for White People to Talk about Racism. Boston: Beacon Press, 2018, pp. 43–44."
"24","https://newdiscourses.com/tftw-aversive-racism/","Source: DiAngelo, Robin J. White Fragility: Why It’s so Hard for White People to Talk about Racism. Boston: Beacon Press, 2018, pp. 44–45."
"25","https://newdiscourses.com/tftw-bias/","Source: Sensoy, Ozlem, and Robin DiAngelo. Is Everyone Really Equal?: An Introduction to Key Concepts in Social Justice Education, second edition. Teacher’s College Press: New York, 2017, p. 240."
"26","https://newdiscourses.com/tftw-bias/","Source: Sensoy, Ozlem, and Robin DiAngelo. Is Everyone Really Equal?: An Introduction to Key Concepts in Social Justice Education, second edition. Teacher’s College Press: New York, 2017, p. 41."
"27","https://newdiscourses.com/tftw-bias/","Source: Sensoy, Ozlem, and Robin DiAngelo. Is Everyone Really Equal?: An Introduction to Key Concepts in Social Justice Education, second edition. Teacher’s College Press: New York, 2017, p. 204."
"28","https://newdiscourses.com/tftw-body-positivity/","Source: Chrisler, Joan C. “The Body Positive Approach to Healthy Embodiment: Review of Embody: Learning to Love Your Unique Body (and Quiet That Critical Voice!), by Connie Sobczak,” Fat Studies 4(1): 58–61, p. 59."
"29","https://newdiscourses.com/tftw-cancel-culture/","Source: https://www.vice.com/en_us/article/vbw9pa/what-is-cancel-culture-twitter-extremely-online/"
"30","https://newdiscourses.com/tftw-climate-justice/","Source: https://www.teenvogue.com/story/climate-activists-explain-why-climate-justice-movement-needs-feminism"
"31","https://newdiscourses.com/tftw-climate-justice/","Source: P Brown, Organizer with SustainUS and Our Climate Voices, same source"
"32","https://newdiscourses.com/tftw-colorblind/","Source: Kendi, Ibram X. How to Be an Antiracist. Random House. Kindle Edition, p. 10."
"33","https://newdiscourses.com/tftw-colorblind/","Source: The National Multicultural Institute"
"34","https://newdiscourses.com/tftw-colorblind/","Source: Thompson, A. “Colortalk: Whiteness and Off White.” Educational Studies, 30(2), 1999: 141–160, p. 143."
"35","https://newdiscourses.com/tftw-colorblind/","Source: Delgado, Richard. Critical Race Theory (Third Edition) (Critical America). NYU Press. Kindle Edition, p. 27."
"36","https://newdiscourses.com/tftw-colortalk-race-talk/","Source: DiAngelo, Robin J.White Fragility: Why It’s so Hard for White People to Talk about Racism. Boston: Beacon Press, 2018, p. 45."
"37","https://newdiscourses.com/tftw-colortalk-race-talk/","Source: DiAngelo, Robin J. White Fragility: Why It’s so Hard for White People to Talk about Racism. Boston: Beacon Press, 2018, pp. 45–46."
"38","https://newdiscourses.com/tftw-colortalk-race-talk/","Source: Thompson, A. “Colortalk: Whiteness and Off White.” Educational Studies, 30(2), 1999: 141–160, p. 142."
"39","https://newdiscourses.com/tftw-colortalk-race-talk/","Source: Thompson, A. “Colortalk: Whiteness and Off White.” Educational Studies, 30(2), 1999: 141–160, p. 143."
"40","https://newdiscourses.com/tftw-colortalk-race-talk/","Source: Thompson, A. “Colortalk: Whiteness and Off White.” Educational Studies, 30(2), 1999: 141–160, p. 144."
"41","https://newdiscourses.com/tftw-complicity/","Source: Applebaum, Barbara. Being White, Being Good: White Complicity, White Moral Responsibility, and Social Justice Pedagogy. Lexington Books, 2010, p. 121."
"42","https://newdiscourses.com/tftw-complicity/","Source: Applebaum, Barbara. Being White, Being Good: White Complicity, White Moral Responsibility, and Social Justice Pedagogy. Lexington Books, 2010, pp. 123–124."
"43","https://newdiscourses.com/tftw-complicity/","Source: Applebaum, Barbara. Being White, Being Good: White Complicity, White Moral Responsibility, and Social Justice Pedagogy. Lexington Books, 2010, p. 140."
"44","https://newdiscourses.com/tftw-complicity/","Source: Applebaum, Barbara. “Race Ignore-ance, Colortalk, and White Complicity: White Is… White Isn’t.” Educational Theory, 56(3), 345–362, p. 350."
"45","https://newdiscourses.com/tftw-complicity/","Source: Applebaum, Barbara. Being White, Being Good: White Complicity, White Moral Responsibility, and Social Justice Pedagogy. Lexington Books. Kindle Edition, pp. 2–3."
